大丈夫、大丈夫。	It's okay.
独学でフランス語を習得したのは本当なんですか？	Is it true you learned French all by yourself?
番号をお間違えです。	I'm afraid you have the wrong number.
仕事は退屈でつまらないです。	My job is dull and boring.
妹の誕生日に真珠のネックレスを贈った。	I gave my sister a pearl necklace on her birthday.
時々、彼のことが信じられなくなる。	"At times, I can't trust him."
日本の切手はもちろん、彼は外国の切手もたくさん持っている。	"He has many foreign stamps, not to mention Japanese ones."
この仕事は私たちには難しい。	This work is difficult for us.
明日１０時にお会いできますか。	Can I see you at ten tomorrow?
お願いだ！俺にチャンスをくれ。	Come on! Give me a chance.
彼女は急に泣き出した。	She broke into tears.
君たちのうち誰かが嘘をついてる。	One of you is lying.
彼は私のいとこでない。	He isn't my cousin.
今夜電話します。	I'll call you tonight.
メアリーは露出度の高い服をよく着ている。	Mary often wears revealing clothes.
暗闇の中に人影が見えた。	A form appeared in the darkness.
ごめん、ペン貸してくれない？	"Excuse me, may I borrow a pen?"
私は自分の名前が呼ばれるのを聞いて驚いた。	I was surprised to hear my name called.
京都には有名な古い建造物がたくさんある。	There are many famous old buildings in Kyoto.
彼は私の妻の知り合いだ。	He is acquainted with my wife.
私はスキーの仕方を知っています。	I'm able to ski.
どこに行きますか？	Where are you going?
彼女はその話に感動して涙した。	She was moved to tears by the story.
秘密にします。	I'll keep it a secret.
私は彼に直接会ったことはありません。でも、彼のことは知っています。	"I haven't met him in person, but I know of him."
彼が運転している車は、彼のではありません。	The car he's driving is not his.
２、３日そこに滞在した。	He stayed there a couple of days.
彼はＳＦが好きだ。	He likes science fiction.
このセーターは暖かい。	This sweater is warm.
５年後にまた会いましょうという彼女の提案に、私は同意した。	I agreed to her suggestion that we meet again five years from then.
まさかこれが起こるだろうだなんて、思いもしませんでした。	I had no idea that this was going to happen.
手書きだったので、その手紙はあまり読みやすくなかった。	"Written by hand, the letter was not very easy to read."
彼を説得して旅行を中止させるのに苦労しました。	It was difficult to persuade him to cancel the trip.
なんて素晴らしい日なのだ。	What a lovely day!
親は、私が一人で行くことを許さなかった。	My parents wouldn't allow me to go by myself.
どうして野菜を食べないの？	Why don't you eat vegetables?
トムは私に嘘をついたことを認めた。	Tom admitted he lied to me.
彼は二時頃来た。	He came about two.
彼は彼のおじさんに手紙を出した。	He sent a letter addressed to his uncle.
手伝って下さいますか。	Will you help me?
働くしかない。	We have no alternative but to work.
夜間の割引はありますか。	Are there special evening rates?
わが国の大都市の多くでは犯罪はたしかに増加している。	Crime is certainly on the increase in many of our big cities.
１０時まで仕事を頑張るつもりですか？	Are you going to work until 10:00?
トムはメアリーにメロメロなんだよ。	Tom has a crush on Mary.
成功を祈っているよ。	I wish you success.
向こうへ行け！	Go away.
ポルトガル語のできる人を探しています。	I'm looking for someone who can speak Portuguese.
月に草は生えていない。	There is no grass on the moon.
彼は慌てて出発した。	He went off in a hurry.
僕はトマトスープが好きだ。	I like tomato soup.
これは僕がバナナを食べてるとこ。	This is me eating a banana.
また会えるといいね。	It would be great if we could meet again.
彼は彼女の父親であることがわかりました。	It turned out that he was her father.
私はナスが好きです。	I love eggplant.
何か食べたいな。	I'd like to eat something.
立派ですね。	It's magnificent.
この本は間違いだらけだ。	This book is full of mistakes.
このビルの所有者は何度も変わっています。	This building changed hands several times.
このジャケットは好きじゃない。	I don't like this jacket.
風邪治ってよかったね。	I'm glad you're over your cold.
何が起こったんだ？	What's up?
カナダは合衆国の北にある。	Canada is to the north of the United States.
君たちにはがっかりだよ。	I'm disappointed in you.
彼は結婚式のために、あごひげの手入れをした。	He trimmed his beard for the wedding.
彼女は門のところにしゃがみこんだ。	She crouched down by the gate.
トムは時間があまりないと分かっていた。	Tom knew he didn't have much time left.
